customer_id,transaction_amount,amount,payment_method,status,failure_reason,customer_tenure,historical_payment_success,historical_payment_success_rate,previous_failures,customer_lifetime_value,engagement_score,churn_probability,days_since_previous_payment,transaction_history,recovered
CUST-SYNTH-000001,1941.44,1941.44,AUTO_DEBIT,FAILED,INSUFFICIENT_FUNDS,19,0.5440519140462698,0.5440519140462698,2,35645.85,0.7999884406788558,0.22916385102865064,20,64,0
CUST-SYNTH-000002,10834.43,10834.43,UPI,RECOVERED,INSUFFICIENT_FUNDS,22,0.874536150101856,0.874536150101856,1,268818.6,0.8413978899260309,0.17306617515393072,2,17,1
CUST-SYNTH-000003,4907.61,4907.61,CREDIT_CARD,FAILED,INSUFFICIENT_FUNDS,2,0.8229142623923534,0.8229142623923534,0,9501.44,0.7061417338177834,0.18755756093718398,23,18,0
CUST-SYNTH-000004,3494.3,3494.3,UPI,FAILED,INSUFFICIENT_FUNDS,8,0.8620950686607008,0.8620950686607008,0,29038.46,0.9667282513795054,0.01,52,2,0
CUST-SYNTH-000005,892.69,892.69,CREDIT_CARD,RECOVERED,INSUFFICIENT_FUNDS,36,0.9021713845590732,0.9021713845590732,1,42982.45,0.7992226982932307,0.16672967334852373,10,72,1
CUST-SYNTH-000006,892.59,892.59,UPI,RECOVERED,AUTH_FAILED,58,0.9333673491952252,0.9333673491952252,0,64429.13,0.8768889164831771,0.09557461546261753,68,14,1
CUST-SYNTH-000007,508.44,508.44,CREDIT_CARD,RECOVERED,GATEWAY_TIMEOUT,8,0.6397208635042883,0.6397208635042883,1,3992.21,0.9216273576261423,0.10225352521631614,49,38,1
CUST-SYNTH-000008,7338.31,7338.31,UPI,RECOVERED,AUTH_FAILED,24,0.8449551982118226,0.8449551982118226,2,244742.95,0.6587167262599462,0.39407939820946564,79,84,1
CUST-SYNTH-000009,3515.79,3515.79,CREDIT_CARD,FAILED,INSUFFICIENT_FUNDS,40,0.8654070223223038,0.8654070223223038,2,71842.58,0.7159098612421942,0.30936966462666965,46,14,0
CUST-SYNTH-000010,4608.38,4608.38,CREDIT_CARD,RECOVERED,INSUFFICIENT_FUNDS,33,0.9298220183979518,0.9298220183979518,0,130495.75,0.9033230822545683,0.13041855258838808,68,95,1
CUST-SYNTH-000011,371.8,371.8,NET_BANKING,RECOVERED,CARD_EXPIRED,5,0.8415382877594716,0.8415382877594716,1,1665.3,0.6626602145544156,0.31213604040169873,57,34,1
CUST-SYNTH-000012,12561.45,12561.45,CREDIT_CARD,RECOVERED,GATEWAY_TIMEOUT,10,0.6507051654204211,0.6507051654204211,1,152786.47,0.6441552499616673,0.34286731733725856,67,58,1
CUST-SYNTH-000013,6551.5,6551.5,UPI,FAILED,CARD_EXPIRED,38,0.8514617593326089,0.8514617593326089,1,205557.55,0.7129822210165498,0.3064439003756952,86,76,0
CUST-SYNTH-000014,1134.41,1134.41,UPI,RECOVERED,INSUFFICIENT_FUNDS,12,0.7629859500477719,0.7629859500477719,0,19558.33,0.5437292203818732,0.46883905855722097,37,94,1
CUST-SYNTH-000015,1001.38,1001.38,CREDIT_CARD,RECOVERED,CARD_EXPIRED,14,0.6727945394296017,0.6727945394296017,2,17497.71,0.7321048611289604,0.17528546959284314,65,47,1
CUST-SYNTH-000016,1008.14,1008.14,UPI,RECOVERED,AUTH_FAILED,41,0.8616905264252915,0.8616905264252915,0,22694.35,0.920968863763399,0.13080083398085776,13,65,1
CUST-SYNTH-000017,1568.64,1568.64,CREDIT_CARD,FAILED,INSUFFICIENT_FUNDS,25,0.9518186938207689,0.9518186938207689,3,23121.37,0.6671065495443365,0.3639603309275349,7,81,0
CUST-SYNTH-000018,2902.75,2902.75,AUTO_DEBIT,FAILED,INSUFFICIENT_FUNDS,53,0.8818830595057577,0.8818830595057577,6,181958.93,0.9237244940495185,0.11799233485705085,85,33,0
CUST-SYNTH-000019,2278.38,2278.38,UPI,RECOVERED,INSUFFICIENT_FUNDS,48,0.919746359913094,0.919746359913094,3,77896.67,0.5816504944058373,0.3614676198994378,44,90,1
CUST-SYNTH-000020,1503.78,1503.78,CREDIT_CARD,RECOVERED,CARD_EXPIRED,35,0.6966812740998144,0.6966812740998144,1,33563.48,0.9566806531644974,0.1003740593823872,27,87,1
CUST-SYNTH-000021,3611.3,3611.3,CREDIT_CARD,RECOVERED,AUTH_FAILED,25,0.8943068916698393,0.8943068916698393,0,123448.45,0.6540526717375593,0.3695303339110518,41,60,1
CUST-SYNTH-000022,824.82,824.82,UPI,RECOVERED,INSUFFICIENT_FUNDS,44,0.6374961333319287,0.6374961333319287,2,52323.39,1.0,0.01,7,16,1
CUST-SYNTH-000023,1508.3,1508.3,UPI,RECOVERED,AUTH_FAILED,22,0.9130955591729422,0.9130955591729422,0,43727.46,0.8246462458063991,0.17956492479458683,1,96,1
CUST-SYNTH-000024,1895.97,1895.97,UPI,RECOVERED,GATEWAY_TIMEOUT,55,0.8231188249403423,0.8231188249403423,2,101633.16,0.9230342709277162,0.11124119317054086,5,59,1
CUST-SYNTH-000025,2430.27,2430.27,CREDIT_CARD,RECOVERED,CARD_EXPIRED,46,0.8948472936217351,0.8948472936217351,0,133868.71,0.8729903681012188,0.1504874915527567,74,10,1
CUST-SYNTH-000026,5681.78,5681.78,AUTO_DEBIT,FAILED,INSUFFICIENT_FUNDS,4,0.8809167270593233,0.8809167270593233,2,26383.24,0.5317224705537034,0.5707967387988585,77,26,0
CUST-SYNTH-000027,1078.58,1078.58,CREDIT_CARD,RECOVERED,CARD_EXPIRED,19,0.8990509203242144,0.8990509203242144,0,15812.06,0.6969911114175168,0.25268853076980113,77,91,1
CUST-SYNTH-000028,2826.1,2826.1,UPI,RECOVERED,GATEWAY_TIMEOUT,20,0.7212620114904882,0.7212620114904882,2,59719.89,0.49018642285806957,0.5772793833637696,7,86,1
CUST-SYNTH-000029,3440.27,3440.27,CREDIT_CARD,FAILED,INSUFFICIENT_FUNDS,27,0.7219799625050493,0.7219799625050493,2,134068.32,0.4149145152738687,0.5679925721785182,26,21,0
CUST-SYNTH-000030,465.47,465.47,CREDIT_CARD,FAILED,CARD_EXPIRED,23,0.5458374197323087,0.5458374197323087,1,8637.94,0.8902818746769938,0.1404700774747607,37,13,0
CUST-SYNTH-000031,3572.67,3572.67,UPI,RECOVERED,AUTH_FAILED,39,0.9293385502798752,0.9293385502798752,2,161973.34,0.8136768819079316,0.21632444805766665,59,78,1
